	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
1152	Volume of grey matter in Thalamus (left)	48, 54, 23, 79, 49	28.67%	40.67%	50.07%
1153	Volume of grey matter in Thalamus (right)	48, 54, 39, 81, 23	29.35%	41.05%	50.91%
1154	Volume of grey matter in Occipital Pole (left)	48, 77, 62, 92, 73	22.82%	36.34%	45.59%
1155	logMAR, final (right)	20, 92, 80, 62, 1	41.24%	59.10%	68.82%
1156	Volume of grey matter in Supracalcarine Cortex (left)	48, 73, 23, 92, 10	18.87%	32.52%	40.02%
1157	Volume of grey matter in Supracalcarine Cortex (right)	48, 73, 20, 23, 92	34.02%	46.49%	54.91%
1158	Weighted-mean OD in tract medial lemniscus (right)	59, 20, 79, 8, 22	7.86%	21.26%	31.97%
1159	Mean ICVF in medial lemniscus on FA skeleton (right)	14, 81, 20, 51, 23	39.50%	51.22%	58.75%
1160	Mean ICVF in corticospinal tract on FA skeleton (left)	73, 81, 14, 46, 64	11.07%	27.89%	41.42%
1161	Volume of grey matter in Supramarginal Gyrus, posterior division (left)	23, 48, 27, 68, 67	14.35%	34.11%	43.31%
1162	Maximum carotid IMT (intima-medial thickness) at 240 degrees	23, 49, 78, 27, 16	15.33%	31.75%	39.85%
1163	Volume of grey matter in Parahippocampal Gyrus, anterior division (left)	89, 72, 23, 48, 38	8.29%	22.42%	34.96%
1164	Volume of grey matter in Cuneal Cortex (left)	48, 92, 23, 77, 38	31.78%	42.14%	50.86%
1165	Pulse wave peak to peak time	54, 73, 83, 27, 45	17.14%	39.41%	55.20%
1166	Mean ISOVF in pontine crossing tract on FA skeleton	23, 20, 8, 32, 89	8.32%	23.36%	36.16%
1167	Body mass index (BMI)	23, 30, 49, 29, 33	40.45%	93.77%	96.33%
1168	Volume of grey matter in Occipital Pole (right)	48, 62, 72, 38, 0	24.46%	38.06%	49.75%
1169	Volume of grey matter in Planum Temporale (left)	48, 23, 73, 30, 58	17.64%	28.65%	35.85%
1170	Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (left)	48, 20, 23, 11, 78	27.02%	43.65%	51.38%
1171	logMAR, initial (right)	20, 80, 62, 92, 1	50.33%	63.02%	71.75%
1172	Age pulmonary embolism (blood clot in lung) diagnosed	68, 77, 39, 11, 20	9.91%	25.59%	37.35%
1173	Femur shaft BMD (bone mineral density) (left)	84, 23, 30, 78, 73	98.50%	98.80%	98.99%
1174	Mean FA in retrolenticular part of internal capsule on FA skeleton (left)	46, 57, 81, 14, 97	33.95%	66.30%	75.29%
1175	Mean FA in posterior limb of internal capsule on FA skeleton (right)	46, 27, 14, 81, 97	30.68%	49.66%	59.48%
1176	Femur total BMD (bone mineral density) T-score (left)	84, 23, 78, 94, 49	99.16%	99.36%	99.48%
1177	Mean FA in anterior limb of internal capsule on FA skeleton (right)	46, 97, 92, 27, 77	46.93%	64.28%	73.83%
1178	Mean FA in anterior limb of internal capsule on FA skeleton (left)	46, 92, 0, 97, 81	38.63%	53.68%	63.70%
1179	Mean FA in cerebral peduncle on FA skeleton (right)	46, 14, 57, 20, 23	27.28%	56.85%	64.89%
1180	Mean FA in cerebral peduncle on FA skeleton (left)	14, 46, 57, 18, 23	30.04%	47.16%	56.13%
1181	Femur troch BMD (bone mineral density) T-score (left)	84, 23, 78, 20, 94	98.66%	99.04%	99.18%
1182	Mean ISOVF in external capsule on FA skeleton (left)	0, 13, 54, 23, 78	40.70%	52.19%	60.14%
1183	Mean ISOVF in sagittal stratum on FA skeleton (right)	0, 13, 59, 46, 81	62.66%	69.43%	74.05%
1184	Mean ISOVF in sagittal stratum on FA skeleton (left)	0, 23, 78, 81, 46	28.29%	42.17%	52.83%
1185	Mean ISOVF in cingulum hippocampus on FA skeleton (right)	23, 49, 78, 14, 0	13.05%	27.44%	35.73%
1186	Mean ISOVF in cingulum hippocampus on FA skeleton (left)	64, 23, 27, 78, 49	14.00%	34.53%	46.36%
1187	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right)	0, 81, 27, 79, 20	79.54%	81.90%	83.93%
1188	Eosinophill count	70, 86, 37, 42, 19	82.31%	98.06%	98.83%
1189	Mean ICVF in posterior thalamic radiation on FA skeleton (left)	81, 57, 46, 14, 20	53.92%	91.60%	94.81%
1190	Mean ICVF in sagittal stratum on FA skeleton (left)	81, 57, 46, 14, 97	65.16%	95.79%	96.91%
1191	dyspepsia/indigestion	23, 78, 49, 94, 16	13.57%	27.94%	36.60%
1192	Mean ICVF in cingulum cingulate gyrus on FA skeleton (left)	81, 46, 20, 57, 14	60.45%	89.94%	94.82%
1193	Mean ICVF in cingulum cingulate gyrus on FA skeleton (right)	81, 46, 20, 57, 14	61.43%	89.86%	95.37%
1194	Years of bringing up phlegm/sputum/mucus on most days	23, 78, 49, 35, 79	24.02%	40.54%	49.45%
1195	Mean ICVF in uncinate fasciculus on FA skeleton (right)	14, 81, 46, 51, 97	60.05%	78.62%	85.49%
1196	Mean ICVF in uncinate fasciculus on FA skeleton (left)	14, 81, 46, 51, 27	67.95%	82.67%	86.90%
1197	LV end systolic volume	20, 68, 23, 78, 64	7.98%	23.52%	33.35%
1198	LV stroke volume	23, 78, 30, 20, 72	9.06%	24.64%	34.24%
1199	Mean ICVF in superior longitudinal fasciculus on FA skeleton (right)	81, 46, 14, 1, 57	90.38%	94.96%	96.52%
1200	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right)	81, 97, 59, 57, 54	39.73%	78.64%	82.23%
1201	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left)	81, 97, 0, 72, 20	41.65%	80.99%	84.50%
1202	Mean ICVF in cingulum hippocampus on FA skeleton (right)	14, 81, 51, 20, 46	39.94%	77.00%	83.85%
1203	Mean ICVF in cingulum hippocampus on FA skeleton (left)	81, 14, 51, 46, 20	36.60%	72.87%	80.06%
1204	Mean ICVF in fornix cres+stria terminalis on FA skeleton (right)	81, 14, 0, 20, 46	42.86%	76.86%	84.04%
1205	Mean ICVF in fornix cres+stria terminalis on FA skeleton (left)	14, 81, 46, 0, 20	36.63%	73.32%	80.73%
1206	Basophill count	69, 40, 43, 70, 86	98.46%	99.45%	99.59%
1207	Weighted-mean OD in tract acoustic radiation (right)	89, 79, 23, 64, 67	12.56%	27.60%	36.05%
1208	Weighted-mean OD in tract anterior thalamic radiation (left)	97, 0, 46, 32, 48	24.03%	40.82%	48.88%
1209	Weighted-mean ICVF in tract superior thalamic radiation (right)	81, 97, 46, 14, 27	68.51%	92.20%	95.18%
1210	Mean sphered cell volume	72, 91, 55, 92, 27	31.72%	61.43%	70.31%
1211	Mean ISOVF in anterior corona radiata on FA skeleton (right)	0, 64, 13, 46, 23	82.92%	86.69%	88.49%
1212	Weighted-mean L1 in tract acoustic radiation (right)	59, 1, 46, 97, 39	21.04%	35.08%	46.39%
1213	Fresh fruit intake	77, 89, 71, 8, 3	96.17%	96.88%	97.33%
1214	Age diabetes diagnosed	58, 79, 23, 78, 38	11.28%	24.55%	34.81%
1215	Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right)	14, 23, 92, 68, 82	14.41%	28.04%	37.01%
1216	Age macular degeneration diagnosed	8, 89, 78, 73, 3	8.88%	21.29%	31.67%
1217	Mean ISOVF in external capsule on FA skeleton (right)	0, 46, 23, 61, 68	56.97%	65.77%	71.66%
1218	Arm BMC (bone mineral content) (right)	20, 94, 84, 92, 38	57.62%	70.68%	78.64%
1219	Mean FA in external capsule on FA skeleton (right)	46, 14, 57, 20, 97	40.44%	69.88%	78.91%
1220	Age chronic bronchitis diagnosed by doctor	22, 27, 28, 23, 73	11.64%	27.77%	37.03%
1221	Mean ICVF in external capsule on FA skeleton (right)	81, 14, 97, 46, 11	34.96%	80.93%	88.36%
1222	Age asthma diagnosed by doctor	37, 40, 23, 51, 75	56.15%	63.66%	68.77%
1223	Age hayfever or allergic rhinitis diagnosed by doctor	37, 23, 51, 78, 13	20.00%	31.89%	41.13%
1224	Weighted-mean L3 in tract superior thalamic radiation (left)	46, 97, 0, 57, 81	53.13%	82.18%	90.12%
1225	Femur neck BMD (bone mineral density) (left)	84, 23, 78, 49, 92	98.28%	98.72%	98.91%
1226	Weighted-mean ISOVF in tract medial lemniscus (left)	38, 27, 51, 1, 80	46.47%	57.85%	66.84%
1227	hypertension	52, 74, 71, 60, 21	76.61%	94.72%	97.36%
1228	neck problem/injury	23, 17, 39, 71, 99	9.05%	22.81%	33.10%
1229	pneumothorax	23, 78, 49, 89, 72	14.11%	30.99%	38.78%
1230	non-infective hepatitis	89, 23, 78, 67, 49	15.43%	36.19%	47.57%
1231	Mean FA in middle cerebellar peduncle on FA skeleton	46, 81, 89, 57, 23	41.57%	54.86%	62.14%
1232	Mean FA in pontine crossing tract on FA skeleton	79, 38, 86, 23, 72	8.33%	23.16%	34.55%
1233	amlodipine	74, 71, 92, 52, 32	24.14%	53.20%	64.14%
1234	isosorbide mononitrate	83, 89, 8, 64, 82	11.80%	26.98%	37.27%
1235	diltiazem	23, 79, 49, 1, 73	12.15%	27.12%	37.33%
1236	amisulpride	77, 71, 67, 8, 3	8.64%	23.34%	34.18%
1237	spiriva 18micrograms inhalation capsule	23, 49, 27, 78, 89	12.04%	27.60%	37.40%
1238	thyroxine product	58, 83, 78, 23, 19	84.53%	88.12%	89.63%
1239	reductil 10mg capsule	23, 78, 49, 7, 22	20.52%	40.24%	47.48%
1240	zestoretic 10 tablet	23, 78, 49, 67, 59	8.80%	22.83%	31.90%
1241	buccastem 3mg tablet	67, 59, 23, 89, 78	5.69%	16.37%	25.89%
1242	clotrimazole	23, 78, 49, 81, 79	21.81%	50.83%	58.39%
1243	felendil xl 5mg m/r tablet	23, 78, 49, 79, 22	23.33%	44.70%	53.11%
1244	capasal shampoo	82, 30, 89, 32, 25	12.05%	26.89%	38.26%
1245	protelos 2g sachets	23, 49, 78, 22, 10	13.13%	29.48%	40.35%
1246	risedronate sodium	23, 79, 67, 27, 71	12.15%	27.05%	37.10%
1247	indivina 1mg/2.5mg tablet	89, 82, 23, 78, 72	16.09%	32.16%	42.33%
1248	atenolol	74, 71, 83, 27, 52	13.59%	27.75%	38.43%
1249	clonazepam	79, 23, 22, 8, 59	8.51%	22.55%	32.60%
1250	mirena 20mcg/24hrs intrauterine system	72, 82, 79, 77, 8	14.00%	30.44%	42.31%
1251	aqueous cream bp	79, 73, 23, 8, 49	14.09%	29.98%	40.44%
1252	plaquenil 200mg tablet	89, 23, 78, 73, 27	10.95%	30.38%	41.97%
1253	dicloflex 25mg e/c tablet	78, 23, 89, 32, 39	10.54%	28.53%	39.72%
1254	multivitamin+mineral preparations	72, 78, 23, 89, 0	9.13%	27.02%	39.25%
1255	amias 2mg tablet	23, 49, 78, 71, 79	12.98%	29.94%	40.16%
1256	femseven 50 patch	78, 8, 23, 89, 17	9.09%	24.86%	35.33%
1257	methotrexate	58, 31, 23, 78, 73	21.02%	32.16%	40.63%
1258	Weighted-mean L2 in tract middle cerebellar peduncle	38, 73, 13, 39, 11	35.87%	49.89%	61.15%
1259	fluvastatin	23, 49, 78, 79, 22	14.50%	26.75%	36.97%
1260	salbuvent 100micrograms inhaler	23, 78, 89, 49, 67	8.21%	21.08%	30.85%
1261	singulair 10mg tablet	23, 79, 78, 49, 7	14.68%	36.16%	47.01%
1262	mometasone	23, 27, 79, 89, 67	10.16%	23.07%	34.70%
1263	sinemet-62.5 tablet	23, 78, 22, 77, 49	13.47%	26.60%	38.32%
1264	cod liver oil capsule	72, 23, 39, 78, 2	11.33%	25.88%	37.88%
1265	mometasone furoate 0.1% ointment	67, 23, 78, 59, 8	7.02%	19.58%	29.23%
1266	aspirin	10, 83, 45, 20, 74	38.31%	58.27%	68.44%
1267	progesterone product	23, 79, 49, 78, 41	17.66%	36.05%	48.01%
1268	bezafibrate	23, 10, 79, 68, 49	17.94%	39.54%	46.76%
1269	merbentyl 10mg tablet	23, 78, 79, 49, 32	12.96%	28.38%	40.93%
1270	ibandronic acid	23, 79, 71, 49, 78	8.93%	23.96%	34.82%
1271	synalar 1:10 cream	23, 79, 49, 72, 27	10.69%	27.03%	37.00%
1272	phenergan 10mg tablet	67, 59, 23, 78, 8	7.01%	17.41%	26.73%
1273	phenobarbital	23, 78, 59, 49, 89	8.46%	22.67%	32.46%
1274	migraleve tablet	23, 49, 89, 39, 78	13.83%	24.77%	33.67%
1275	dixarit 25mcg tablet	23, 49, 78, 82, 79	16.60%	33.79%	44.70%
1276	ropinirole	30, 23, 27, 79, 73	8.12%	21.42%	32.48%
1277	sodium valproate	23, 49, 79, 78, 99	17.24%	34.59%	44.14%
1278	ispaghula husk	23, 39, 73, 89, 71	9.20%	23.66%	34.09%
1279	azathioprine	23, 89, 39, 82, 38	10.16%	27.60%	38.27%
1280	ventolin 100micrograms inhaler	37, 51, 70, 72, 18	86.68%	92.23%	94.23%
1281	nuvelle tablet	82, 73, 27, 30, 38	8.20%	23.25%	32.08%
1282	pramipexole	23, 49, 79, 82, 78	18.04%	34.44%	47.02%
1283	quinapril	23, 49, 78, 89, 67	16.62%	28.87%	38.71%
1284	lacri-lube eye ointment	23, 79, 71, 78, 67	14.17%	24.86%	34.54%
1285	beclometasone	23, 78, 37, 71, 39	11.42%	25.87%	38.06%
1286	ferrous sulphate	23, 27, 79, 73, 78	12.13%	25.72%	35.41%
1287	mirapexin 0.088mg tablet	23, 22, 77, 71, 78	9.50%	24.06%	34.35%
1288	budesonide product	23, 79, 49, 78, 82	12.05%	29.19%	39.27%
1289	gtn - glyceryl trinitrate	23, 89, 49, 78, 1	12.41%	26.35%	37.58%
1290	vesicare 5mg tablet	23, 78, 49, 7, 39	16.86%	30.09%	38.73%
1291	naprosyn 250mg tablet	23, 78, 49, 41, 79	17.31%	36.75%	48.14%
1292	sustanon 100 oily injection	77, 71, 11, 82, 8	9.08%	21.29%	31.68%
1293	maxidex eye drops	67, 59, 78, 30, 23	7.15%	18.00%	26.33%
1294	arthrotec tablet	23, 78, 71, 49, 86	11.38%	26.87%	35.49%
1295	testosterone product	23, 27, 30, 0, 64	7.35%	21.35%	33.40%
1296	oxybutynin	23, 78, 79, 49, 71	16.42%	31.90%	44.01%
1297	otomize ear spray	23, 78, 89, 49, 16	11.13%	32.76%	42.04%
1298	femulen tablet	23, 79, 49, 1, 78	9.14%	21.79%	32.49%
1299	glibenclamide	23, 78, 49, 30, 0	19.46%	34.09%	42.99%
1300	nitrazepam	38, 79, 1, 89, 72	8.15%	22.73%	35.66%
1301	nitrolingual 400micrograms spray	89, 23, 78, 71, 86	13.98%	29.36%	38.52%
1302	dilzem sr 60mg long acting m/r capsule	89, 23, 78, 82, 49	15.13%	35.32%	45.46%
1303	cetraben emollient cream	82, 23, 30, 77, 78	11.85%	29.11%	38.52%
1304	salbutamol product	79, 23, 49, 72, 82	13.22%	30.22%	37.16%
1305	nortriptyline	23, 78, 71, 49, 79	14.49%	29.90%	42.19%
1306	allergy relief antihistamine 4mg tablet	89, 23, 78, 49, 82	13.67%	36.27%	46.12%
1307	clobetasol	82, 30, 25, 89, 38	13.03%	26.84%	38.28%
1308	carmellose	23, 89, 82, 49, 78	10.67%	30.01%	46.08%
1309	dipyridamole	23, 27, 39, 78, 72	10.74%	26.72%	38.31%
1310	femoston 1/10 tablet	23, 1, 71, 49, 78	13.64%	30.33%	43.54%
1311	nurofen 200mg tablet	23, 79, 49, 78, 71	15.79%	35.42%	47.04%
1312	selenium product	23, 79, 49, 72, 78	15.75%	27.21%	35.93%
1313	ciprofloxacin	23, 78, 77, 49, 11	14.30%	32.72%	41.78%
1314	e45 cream	23, 49, 79, 78, 54	12.52%	29.95%	40.85%
1315	antihistamine 60mg tablet	23, 71, 78, 49, 79	11.22%	23.58%	32.26%
1316	minocycline	23, 78, 89, 49, 73	14.30%	36.13%	45.30%
1317	mycophenolate	89, 78, 23, 49, 25	12.80%	32.88%	44.24%
1318	timolol 0.25% eye drops	23, 79, 49, 78, 6	14.44%	28.57%	38.92%
1319	dihydrocodeine	23, 79, 72, 27, 49	10.03%	24.27%	34.61%
1320	forceval capsule	23, 22, 78, 27, 49	14.15%	26.95%	36.54%
1321	loestrin 20 tablet	23, 27, 79, 82, 49	8.97%	21.86%	34.02%
1322	xatral 2.5mg tablet	23, 78, 49, 73, 77	16.15%	31.48%	40.66%
1323	Mean ISOVF in genu of corpus callosum on FA skeleton	0, 97, 14, 2, 23	35.86%	53.73%	60.89%
1324	dorzolamide+timolol	82, 23, 30, 77, 25	13.31%	29.01%	40.18%
1325	madopar 62.5 capsule	23, 78, 77, 49, 82	14.36%	28.75%	37.64%
1326	calcichew d3 tablet	23, 89, 79, 78, 49	13.21%	27.77%	37.87%
1327	spasmonal 60mg capsule	23, 78, 49, 30, 0	17.07%	35.49%	43.23%
1328	rizatriptan	23, 79, 73, 59, 8	11.39%	27.98%	40.79%
1329	ismo - isosorbide mononitrate	23, 78, 49, 79, 0	23.21%	38.43%	45.74%
1330	calcium carbonate+cholecalciferol 1.25g/200iu tablet	39, 78, 89, 23, 81	11.41%	32.05%	47.08%
1331	macrogol ointment	22, 23, 59, 78, 77	8.77%	25.09%	35.44%
1332	atorvastatin	10, 86, 51, 38, 39	29.98%	41.04%	47.90%
1333	calcium+vitamin d 500units tablet	23, 49, 7, 81, 71	17.35%	31.03%	40.94%
1334	conjugated oestrogens	22, 23, 59, 78, 11	8.57%	24.91%	34.46%
1335	persantin 25mg tablet	79, 23, 1, 49, 32	16.05%	38.18%	48.49%
1336	vardenafil	23, 78, 49, 59, 22	15.14%	31.21%	41.40%
1337	piriteze 10mg tablet	23, 77, 78, 82, 71	9.48%	24.69%	33.78%
1338	bricanyl 250mcg inhaler	79, 23, 78, 49, 8	12.45%	32.24%	44.86%
1339	premarin 625micrograms tablet	23, 79, 49, 78, 81	12.87%	28.19%	36.52%
1340	prempak 0.625 tablet	23, 71, 49, 79, 78	12.51%	30.07%	39.30%
1341	bisacodyl	23, 78, 73, 8, 77	10.80%	27.14%	36.64%
1342	adalate 10mg capsule	23, 79, 49, 77, 8	13.81%	31.23%	41.25%
1343	questran 4g/sachet powder	23, 78, 77, 22, 49	13.39%	28.63%	39.79%
1344	epanutin 25mg capsule	23, 79, 49, 78, 71	23.21%	41.40%	51.64%
1345	travatan 40micrograms/ml eye drops	23, 59, 79, 71, 22	10.05%	23.68%	32.12%
1346	Salad/raw vegetable intake	51, 38, 27, 77, 20	43.93%	66.63%	72.60%
1347	lisinopril	71, 74, 52, 21, 20	23.00%	54.05%	64.10%
1348	acyclovir	23, 78, 49, 77, 16	19.86%	39.38%	47.82%
1349	insulin product	15, 58, 83, 49, 98	43.07%	78.88%	81.28%
1350	livial 2.5mg tablet	89, 23, 39, 72, 71	14.74%	31.02%	40.36%
1351	migril tablet	23, 78, 49, 7, 79	20.42%	42.31%	51.45%
1352	indapamide	27, 23, 73, 68, 79	11.67%	27.16%	39.47%
1353	peptac liquid	23, 78, 67, 82, 89	11.39%	22.54%	32.12%
1354	trifluoperazine	77, 71, 67, 8, 22	8.81%	23.97%	35.41%
1355	co-proxamol	23, 22, 59, 71, 79	9.51%	24.02%	35.40%
1356	symbicort 100/6 turbohaler	23, 37, 27, 79, 1	9.97%	26.62%	39.87%
1357	acrivastine	82, 89, 30, 25, 38	11.60%	24.85%	34.47%
1358	fosinopril	23, 78, 89, 82, 49	12.77%	27.59%	41.26%
1359	adalat 5mg capsule	49, 23, 79, 78, 89	9.48%	25.72%	37.19%
1360	co-codamol	72, 7, 79, 83, 23	12.10%	20.05%	27.44%
1361	tolterodine l-tartrate	1, 72, 23, 39, 73	9.73%	23.15%	33.09%
1362	eprosartan	23, 79, 49, 78, 59	13.95%	33.99%	41.13%
1363	zumenon 1mg tablet	23, 78, 49, 16, 7	22.80%	47.76%	55.22%
1364	aspirin 75mg tablet	23, 39, 49, 79, 78	10.15%	21.94%	32.03%
1365	estradiol product	23, 78, 49, 79, 73	17.42%	33.00%	41.87%
1366	sotalol	61, 23, 79, 49, 72	15.91%	36.57%	47.01%
1367	letrozole	23, 49, 78, 27, 79	15.04%	27.52%	38.13%
1368	pantoprazole	89, 23, 79, 67, 49	12.03%	27.56%	38.46%
1369	noriday tablet	89, 23, 78, 71, 27	11.91%	28.88%	37.82%
1370	aciclovir	23, 78, 79, 49, 81	14.50%	34.69%	47.01%
1371	co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10	23, 78, 79, 1, 49	18.40%	32.33%	42.03%
1372	clarithromycin	23, 49, 78, 82, 89	12.38%	34.49%	43.59%
1373	sodium warfarin	61, 23, 49, 79, 81	26.34%	44.33%	52.54%
1374	chondroitin product	23, 78, 79, 64, 48	15.81%	30.54%	43.09%
1375	terazosin	23, 78, 49, 73, 27	18.42%	38.62%	48.45%
1376	tadalafil	23, 39, 89, 79, 78	12.66%	27.18%	38.97%
1377	cialis 10mg tablet	73, 23, 8, 49, 79	11.24%	27.85%	41.19%
1378	securon 40mg tablet	23, 78, 49, 82, 30	11.90%	27.25%	36.81%
1379	cialis 20mg tablet	8, 89, 78, 23, 22	11.25%	27.36%	38.61%
1380	omeprazole	83, 98, 18, 0, 23	33.88%	42.42%	49.07%
1381	calcium carbonate+cholecalciferol 1.25g/5micrograms tablet	23, 78, 89, 8, 49	11.59%	28.05%	41.43%
1382	senna	23, 78, 39, 49, 71	13.46%	27.03%	37.10%
1383	ispaghula husk product	23, 78, 49, 59, 79	12.88%	28.03%	36.04%
1384	eltroxin 25micrograms tablet	23, 78, 59, 49, 89	11.45%	27.17%	37.14%
1385	venlafaxine	23, 78, 49, 79, 71	15.19%	29.77%	38.74%
1386	motilium 10mg tablet	23, 78, 73, 49, 72	14.58%	30.85%	40.30%
1387	captopril	89, 23, 82, 78, 49	12.83%	30.26%	42.94%
1388	efexor 37.5mg tablet	27, 82, 23, 73, 30	14.28%	30.19%	41.26%
1389	azopt 10mg/ml eye drops	23, 82, 6, 79, 49	11.51%	29.63%	40.32%
1390	flax oil tablet	23, 78, 49, 71, 20	12.26%	30.01%	39.55%
1391	cinnarizine	79, 22, 23, 77, 82	7.48%	21.80%	31.54%
1392	ginseng product	27, 89, 23, 67, 64	14.46%	32.38%	44.42%
1393	ginkgo forte tablet	27, 23, 49, 78, 79	14.66%	29.22%	39.73%
1394	chlorpheniramine	23, 78, 49, 79, 16	19.05%	40.50%	48.04%
1395	chlorpromazine	23, 27, 22, 30, 49	9.19%	25.16%	34.59%
1396	brinzolamide	23, 78, 89, 49, 69	16.23%	38.86%	49.99%
1397	amoxicillin	23, 79, 78, 49, 71	12.41%	26.45%	37.26%
1398	carbocisteine	23, 78, 49, 73, 89	12.66%	29.31%	39.89%
1399	anastrozole	23, 78, 49, 89, 71	22.36%	36.06%	45.85%
1400	cymalon cranberry 1.5g/5ml liquid	23, 78, 49, 77, 16	18.97%	37.35%	45.01%
1401	fybogel mebeverine sachet	23, 89, 78, 79, 49	14.93%	30.46%	40.98%
1402	hydroxychloroquine	23, 71, 39, 78, 72	8.51%	21.99%	32.45%
1403	terbutaline	23, 37, 79, 49, 1	12.24%	27.33%	37.25%
1404	gaviscon liquid	23, 94, 72, 78, 79	11.54%	27.49%	41.50%
1405	irbesartan	23, 78, 74, 72, 1	10.25%	25.20%	34.68%
1406	climaval 1mg tablet	89, 82, 73, 77, 25	24.17%	41.61%	52.98%
1407	simvador 10mg tablet	27, 1, 73, 68, 23	11.92%	25.30%	37.08%
1408	telfast 30 tablet	23, 49, 78, 79, 72	16.05%	31.12%	41.62%
1409	lansoprazole	89, 18, 86, 45, 8	10.98%	29.97%	39.24%
1410	azithromycin	23, 79, 49, 78, 59	12.68%	27.82%	39.58%
1411	imodium 2mg capsule	23, 78, 89, 82, 49	13.94%	32.70%	44.09%
1412	istin 5mg tablet	23, 79, 49, 78, 81	18.82%	36.47%	46.70%
1413	Weighted-mean OD in tract posterior thalamic radiation (left)	59, 79, 86, 23, 48	8.77%	21.09%	32.98%
1414	beclometasone dipropionate+salbutamol	23, 79, 49, 27, 78	14.94%	30.80%	41.46%
1415	lamotrigine	89, 78, 23, 39, 62	13.08%	31.35%	44.11%
1416	testogel 50mg gel 5g sachet	23, 78, 8, 73, 77	10.94%	26.97%	38.21%
1417	rhinocort 50micrograms nasal spray	23, 78, 49, 16, 89	18.98%	36.41%	46.16%
1418	Weighted-mean OD in tract medial lemniscus (left)	79, 23, 74, 32, 86	10.26%	21.58%	30.61%
1419	regulan 3.6g/sachet powder	67, 59, 1, 78, 23	6.52%	17.55%	26.66%
1420	hydrocortisone product	23, 78, 49, 79, 0	15.69%	32.28%	42.92%
1421	exemestane	23, 79, 78, 30, 0	16.30%	30.42%	38.81%
1422	Mean ISOVF in superior cerebellar peduncle on FA skeleton (left)	48, 89, 79, 23, 86	8.85%	25.11%	37.50%
1423	Weighted-mean OD in tract inferior longitudinal fasciculus (right)	97, 64, 14, 86, 48	20.90%	31.87%	41.35%
1424	diprobase cream	23, 27, 72, 78, 71	9.44%	22.07%	31.91%
1425	levetiracetam	23, 78, 89, 49, 82	15.38%	37.21%	48.00%
1426	antihypertensive	23, 78, 77, 82, 49	15.76%	30.10%	41.33%
1427	flu - influenza vaccine	73, 23, 89, 78, 8	7.98%	23.34%	37.53%
1428	lithium product	23, 78, 49, 18, 79	15.67%	32.31%	42.43%
1429	b12 - hydroxocobalamin prep	23, 79, 49, 13, 82	14.71%	30.79%	39.08%
1430	montelukast product	37, 23, 49, 89, 8	12.34%	29.99%	41.53%
1431	diprosalic ointment	23, 22, 0, 30, 78	9.56%	21.62%	29.70%
1432	oestrogen product	23, 27, 82, 38, 78	9.11%	23.87%	34.73%
1433	doxycycline	23, 78, 79, 49, 89	19.99%	39.99%	51.57%
1434	loratadine	23, 78, 49, 72, 37	10.80%	28.13%	39.80%
1435	tylex capsule	82, 23, 78, 27, 98	12.47%	24.98%	35.21%
1436	zimovane ls 3.75mg tablet	23, 78, 49, 77, 73	11.46%	27.81%	37.30%
1437	Volume of grey matter in Cingulate Gyrus, posterior division (left)	48, 8, 1, 35, 22	64.01%	70.53%	75.49%
1438	formoterol	23, 78, 49, 27, 16	18.76%	34.29%	42.77%
1439	almotriptan	23, 78, 49, 3, 11	14.57%	34.36%	41.15%
1440	dovonex scalp solution	82, 77, 23, 30, 25	14.01%	29.66%	42.14%
1441	co-tenidone	67, 27, 23, 89, 49	9.16%	26.38%	35.95%
1442	cozaar 25mg tablet	23, 78, 1, 71, 7	17.18%	30.10%	41.03%
1443	rabeprazole sodium	23, 73, 79, 1, 90	8.03%	20.24%	29.19%
1444	celecoxib	89, 23, 27, 39, 67	14.88%	33.15%	44.02%
1445	sulphasalazine	23, 82, 49, 72, 79	12.49%	26.53%	37.26%
1446	calcium+ergocalciferol tablet	78, 23, 89, 49, 82	12.61%	33.20%	44.04%
1447	celebrex 100mg capsule	23, 49, 78, 81, 79	21.01%	37.62%	48.49%
1448	hydroxyzine	23, 79, 78, 49, 27	14.86%	33.48%	44.62%
1449	allopurinol	59, 99, 39, 8, 73	83.90%	88.50%	90.47%
1450	co-amilozide	23, 79, 78, 49, 22	11.33%	23.52%	33.31%
1451	amiloride	23, 78, 77, 49, 11	13.26%	28.70%	37.04%
1452	verapamil	27, 23, 67, 82, 64	15.19%	28.72%	37.92%
1453	adipine mr 10 m/r tablet	23, 78, 73, 27, 49	14.48%	32.75%	42.10%
1454	celluvisc 1% single-use eye drops	23, 78, 49, 89, 0	17.94%	37.30%	50.22%
1455	cosopt 2%/0.5% eye drops	73, 79, 23, 8, 77	11.71%	29.58%	41.66%
1456	Volume of grey matter in Frontal Orbital Cortex (left)	48, 23, 20, 92, 49	80.54%	84.59%	86.71%
